"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2022","197.00","197.00","197.00","177.30","122.83K","0.00%"
"31/12/2021","197.00","182.00","197.00","182.00","5.29M","8.24%"
"30/12/2021","182.00","182.00","182.00","182.00","1.34M","0.00%"
"29/12/2021","182.00","182.70","182.00","182.00","1.98M","-0.38%"
"24/12/2021","182.70","182.70","182.70","173.20","76.27K","0.00%"
"23/12/2021","182.70","183.50","182.70","182.70","1.68M","-0.44%"
"22/12/2021","183.50","186.00","183.50","183.50","1.74M","-1.34%"
"21/12/2021","186.00","185.90","186.00","186.00","1.69M","0.05%"
"20/12/2021","185.90","187.00","185.90","185.90","1.92M","-0.59%"
"17/12/2021","187.00","187.00","187.00","187.00","1.15M","0.00%"
"16/12/2021","187.00","187.00","187.00","186.50","3.27M","0.00%"
"15/12/2021","187.00","186.80","187.20","187.00","2.17M","0.11%"
"14/12/2021","186.80","186.80","186.80","186.80","1.22M","0.00%"
"13/12/2021","186.80","174.50","186.80","186.80","679.67K","7.05%"
"10/12/2021","174.50","174.50","182.00","174.50","172.02K","0.00%"
"09/12/2021","174.50","174.50","176.00","172.10","605.58K","0.00%"
"08/12/2021","174.50","167.00","174.50","174.50","826.31K","4.49%"
"07/12/2021","167.00","167.00","179.00","169.00","57.26K","0.00%"
"06/12/2021","167.00","167.00","175.00","167.00","696.61K","0.00%"
"03/12/2021","167.00","169.20","167.00","167.00","950.14K","-1.30%"
"02/12/2021","169.20","171.00","169.20","169.20","3.70M","-1.05%"
"01/12/2021","171.00","190.00","171.00","171.00","516.18K","-10.00%"
"30/11/2021","190.00","190.00","175.00","171.00","349.13K","0.00%"
"29/11/2021","190.00","190.00","180.00","172.00","187.14K","0.00%"
"26/11/2021","190.00","190.00","180.00","173.10","588.31K","0.00%"
"25/11/2021","190.00","190.00","180.00","175.00","236.81K","0.00%"
"24/11/2021","190.00","190.00","185.00","177.80","469.63K","0.00%"
"23/11/2021","190.00","190.00","190.00","177.20","439.63K","0.00%"
"22/11/2021","190.00","190.00","190.00","190.00","1.86M","0.00%"
"19/11/2021","190.00","190.00","189.80","185.00","182.68K","0.00%"
"18/11/2021","190.00","190.00","189.90","187.20","200.21K","0.00%"
"17/11/2021","190.00","190.00","190.00","187.10","154.34K","0.00%"
"16/11/2021","190.00","190.00","190.00","188.80","473.94K","0.00%"
"15/11/2021","190.00","191.00","190.00","189.00","3.90M","-0.52%"
"12/11/2021","191.00","200.00","191.00","191.00","1.76M","-4.50%"
"11/11/2021","200.00","201.00","200.00","200.00","2.05M","-0.50%"
"10/11/2021","201.00","200.00","209.90","201.00","7.13M","0.50%"
"09/11/2021","200.00","192.50","205.00","199.90","5.38M","3.90%"
"08/11/2021","192.50","175.60","193.00","190.00","4.02M","9.62%"
